55784,MN,8
56688,MN,8
55786,MN,8
54479,WI,7
56680,MN,8
54654,WI,3
53063,WI,6
56681,MN,8
56649,MN,8
54655,WI,3
54408,WI,7
54408,WI,8
54657,WI,3
54401,WI,7
54403,WI,7
54405,WI,7
54409,WI,7
54409,WI,8
56157,MN,7
54411,WI,7
54412,WI,3
54412,WI,7
53504,WI,2
56169,MN,7
53510,WI,2
53522,WI,2
53586,WI,2
53530,WI,2
53541,WI,2
54414,WI,7
54414,WI,8
46779,IN,3
54417,WI,7
54421,WI,7
54426,WI,7
54448,WI,7
54427,WI,7
54427,WI,8
54440,WI,7
54443,WI,7
54443,WI,3
54449,WI,7
54451,WI,7
54454,WI,3
54454,WI,7
56153,MN,1
54452,WI,7
54455,WI,3
54455,WI,7
54471,WI,7
53104,WI,1
54473,WI,3
54473,WI,7
53811,IA,1
53811,WI,3
53811,WI,2
53811,IL,17
53807,WI,3
53807,WI,2
53105,WI,1
53139,WI,1
53140,WI,1
53142,WI,1
53143,WI,1
53144,WI,1
54474,WI,7
54476,WI,7
54480,WI,7
53158,WI,1
54484,WI,7
54488,WI,7
53179,WI,1
54499,WI,3
54499,WI,7
54499,WI,8
53168,WI,1
53181,WI,1
53182,WI,1
53170,WI,1
47869,IN,8
53177,WI,1
47866,IN,8
53192,WI,1
53403,WI,1
56003,MN,1
55929,MN,1
56021,MN,1
56074,MN,1
54517,WI,7
54527,WI,7
54546,WI,7
54559,WI,7
54806,WI,7
54846,WI,7
54850,WI,7
54748,WI,7
54855,WI,7
54856,WI,7
54861,WI,7
46156,IN,6
55901,MN,1
55902,MN,1
55904,MN,1
55905,MN,1
55920,MN,1
55934,MN,1
54730,WI,3
54730,WI,7
54433,WI,7
46764,IN,3
54724,WI,3
54724,WI,7
54204,WI,8
55709,MN,8
54732,WI,7
54745,WI,7
54757,WI,3
54757,WI,7
54766,WI,7
54202,WI,8
54422,WI,7
54447,WI,7
54460,WI,7
54498,WI,7
54771,WI,7
54601,WI,3
56332,MN,7
54603,WI,3
56354,MN,7
54614,WI,3
54644,WI,3
54619,WI,3
56355,MN,7
54623,WI,3
54653,WI,3
54636,WI,3
56525,MN,7
54642,WI,3
47434,IN,9
54650,WI,3
46919,IN,2
46919,IN,5
54656,WI,3
54658,WI,3
54669,WI,3
54661,WI,3
54013,WI,3
54013,WI,7
54667,WI,3
54015,WI,7
55001,MN,2
55001,MN,4
55003,MN,4
55016,MN,2
55016,MN,4
55043,WI,7
55043,MN,4
55042,MN,4
55310,MN,7
55047,MN,6
55055,MN,4
56277,MN,7
55071,MN,2
55071,MN,4
55324,MN,7
55082,MN,4
55082,MN,6
55090,MN,4
55115,MN,4
55325,MN,7
56243,MN,7
56016,MN,1
55355,MN,7
55733,MN,8
55125,MN,4
56339,MN,7
55128,MN,4
56020,MN,1
55129,MN,2
55129,MN,4
55707,MN,8
56029,MN,1
55718,MN,8
55726,MN,8
55757,MN,8
55780,MN,8
55772,MN,8
56627,MN,8
55787,MN,8
56639,MN,8
56653,MN,8
55797,MN,8
56311,MN,7
46929,IN,4
56531,MN,7
56590,MN,7
46936,IN,5
54821,WI,7
46167,IN,4
54828,WI,7
54537,WI,7
54538,WI,7
54835,WI,7
54552,WI,7
54555,WI,7
46234,IN,4
46234,IN,7
46234,IN,5
54862,WI,7
54867,WI,7
54896,WI,7
46278,IN,4
46278,IN,7
46278,IN,5
56629,MN,8
56654,MN,8
56658,MN,8
56660,MN,8
56668,MN,8
54513,WI,7
54514,WI,7
54459,WI,7
54470,WI,7
54490,WI,7
56581,MN,7
54515,WI,7
54530,WI,7
54524,WI,7
54843,WI,7
47562,IN,8
54556,WI,7
54621,WI,3
54632,WI,3
54652,WI,3
54536,WI,7
54665,WI,3
54525,WI,7
54534,WI,7
54547,WI,7
46961,IN,4
54550,WI,7
53930,WI,6
46967,IN,4
54565,WI,7
46988,IN,4
53901,WI,6
46390,IN,1
46390,IN,2
53953,WI,6
53954,WI,6
46382,IN,1
46382,IN,2
54982,WI,6
53502,WI,2
46340,IN,1
46340,IN,2
53566,WI,2
54228,WI,6
53570,WI,2
54519,WI,7
54521,WI,7
54540,WI,7
54540,MI,1
46182,IN,6
54554,WI,7
54554,MI,1
54512,WI,7
54247,WI,6
54545,WI,7
54548,WI,7
54007,WI,7
54557,WI,7
54026,WI,7
54558,WI,7
54560,WI,7
56330,MN,8
56330,MN,6
54561,WI,7
56357,MN,6
56357,MN,8
54568,WI,7
54214,WI,6
56379,MN,6
54207,WI,6
54220,WI,6
54227,WI,6
47941,IN,4
54230,WI,6
54232,WI,6
46917,IN,4
